1/6/2024, 11:37:13 AM | METHOD : GET | URL :  /groups/index | PARAMS : {} | QUERY : {} | BODY {}  
1/6/2024, 11:37:17 AM | METHOD : POST | URL :  /users/login | PARAMS : {} | QUERY : {} | BODY {"name":"mhd","password":"12345"}  
1/6/2024, 11:37:26 AM | METHOD : GET | URL :  /groups/index | PARAMS : {} | QUERY : {} | BODY {}  
1/6/2024, 11:38:16 AM | METHOD : GET | URL :  /groups/index | PARAMS : {} | QUERY : {} | BODY {}  
1/6/2024, 11:38:37 AM | METHOD : GET | URL :  /groups/index | PARAMS : {} | QUERY : {} | BODY {}  
1/6/2024, 11:38:50 AM | METHOD : GET | URL :  /groups/index | PARAMS : {} | QUERY : {} | BODY {}  
1/6/2024, 11:38:57 AM | METHOD : GET | URL :  /groups/index | PARAMS : {} | QUERY : {} | BODY {}  
1/6/2024, 11:39:20 AM | METHOD : GET | URL :  /groups/index?owner_id=4 | PARAMS : {} | QUERY : {"owner_id":"4"} | BODY {}  
1/6/2024, 11:39:24 AM | METHOD : GET | URL :  /groups/index?owner_id | PARAMS : {} | QUERY : {"owner_id":""} | BODY {}  
1/6/2024, 11:44:08 AM | METHOD : GET | URL :  /files/index?group_id=1 | PARAMS : {} | QUERY : {"group_id":"1"} | BODY {}  
1/6/2024, 11:44:18 AM | METHOD : GET | URL :  /files/index?group_id=1 | PARAMS : {} | QUERY : {"group_id":"1"} | BODY {}  
1/6/2024, 11:46:22 AM | METHOD : POST | URL :  /files/add | PARAMS : {} | QUERY : {} | BODY {}  
1/6/2024, 11:46:27 AM | METHOD : POST | URL :  /files/add | PARAMS : {} | QUERY : {} | BODY {}  
1/6/2024, 11:46:40 AM | METHOD : POST | URL :  /files/add | PARAMS : {} | QUERY : {} | BODY {}  
1/6/2024, 11:46:55 AM | METHOD : POST | URL :  /files/share_with_group | PARAMS : {} | QUERY : {} | BODY {"file_id":4,"group_id":1}  
1/6/2024, 11:47:00 AM | METHOD : POST | URL :  /files/share_with_group | PARAMS : {} | QUERY : {} | BODY {"file_id":4,"group_id":1}  
1/6/2024, 11:47:17 AM | METHOD : POST | URL :  /files/share_with_group | PARAMS : {} | QUERY : {} | BODY {"file_id":3,"group_id":1}  
1/6/2024, 11:47:21 AM | METHOD : POST | URL :  /files/share_with_group | PARAMS : {} | QUERY : {} | BODY {"file_id":3,"group_id":1}  
1/6/2024, 11:47:32 AM | METHOD : GET | URL :  /files/check_in/1?file_ides=3 | PARAMS : {} | QUERY : {"file_ides":"3"} | BODY {}  
